Date,Value,Date,Value,Date,Value,Date,Value,Date,Value
2016-05-09T03:35:00.000Z,-44.45191,2016-05-09T03:35:00.000Z,7.986162,2016-05-09T03:35:00.000Z,6.774165154,2016-05-09T03:35:00.000Z,4.966282,2016-05-09T03:35:00.000Z,6.571252
2016-05-09T03:45:00.000Z,-39.71262,2016-05-09T03:45:00.000Z,7.971474,2016-05-09T03:45:00.000Z,6.798698902,2016-05-09T03:45:00.000Z,4.969106,2016-05-09T03:45:00.000Z,6.587656975
2016-05-09T05:55:00.000Z,-7.854581833,2016-05-09T05:55:00.000Z,7.999746799,2016-05-09T05:55:00.000Z,6.785766125,2016-05-09T05:55:00.000Z,4.987992764,2016-05-09T05:55:00.000Z,6.58323288
2016-05-09T06:00:00.000Z,-11.01395988,2016-05-09T06:00:00.000Z,8.006387,2016-05-09T06:00:00.000Z,6.737385,2016-05-09T06:00:00.000Z,4.975478,2016-05-09T06:00:00.000Z,6.580369949
2016-05-09T06:40:00.000Z,-31.76058006,2016-05-09T06:40:00.000Z,7.990934,2016-05-09T06:40:00.000Z,6.764553,2016-05-09T06:40:00.000Z,4.985436916,2016-05-09T06:40:00.000Z,6.588688
2016-05-09T07:00:00.000Z,3.40256,2016-05-09T07:00:00.000Z,8.011843681,2016-05-09T07:00:00.000Z,6.768671036,2016-05-09T07:00:00.000Z,4.984062,2016-05-09T07:00:00.000Z,6.604674816
2016-05-09T07:05:00.000Z,3.534581,2016-05-09T07:05:00.000Z,7.998642,2016-05-09T07:05:00.000Z,6.739597,2016-05-09T07:05:00.000Z,4.963878155,2016-05-09T07:05:00.000Z,6.607806206
2016-05-09T07:10:00.000Z,3.625966072,2016-05-09T07:10:00.000Z,8.02142,2016-05-09T07:10:00.000Z,6.77512,2016-05-09T07:10:00.000Z,4.988297,2016-05-09T07:10:00.000Z,6.597273827
2016-05-09T07:15:00.000Z,3.606505,2016-05-09T07:15:00.000Z,8.002687,2016-05-09T07:15:00.000Z,6.748946,2016-05-09T07:15:00.000Z,4.972349167,2016-05-09T07:15:00.000Z,6.596206
2016-05-09T07:20:00.000Z,3.612571001,2016-05-09T07:20:00.000Z,8.012147903,2016-05-09T07:20:00.000Z,6.762451172,2016-05-09T07:20:00.000Z,4.958803,2016-05-09T07:20:00.000Z,6.590901
2016-05-09T07:25:00.000Z,3.608108044,2016-05-09T07:25:00.000Z,8.013064384,2016-05-09T07:25:00.000Z,6.76630497,2016-05-09T07:25:00.000Z,4.961856,2016-05-09T07:25:00.000Z,6.548815
2016-05-09T07:30:00.000Z,3.555645,2016-05-09T07:30:00.000Z,8.009058,2016-05-09T07:30:00.000Z,6.79381609,2016-05-09T07:30:00.000Z,4.990092,2016-05-09T07:30:00.000Z,6.564497
2016-05-09T07:35:00.000Z,3.487649918,2016-05-09T07:35:00.000Z,8.010928154,2016-05-09T07:35:00.000Z,6.767755985,2016-05-09T07:35:00.000Z,4.974297,2016-05-09T07:35:00.000Z,6.545075893
2016-05-09T07:40:00.000Z,3.495013,2016-05-09T07:40:00.000Z,8.010164,2016-05-09T07:40:00.000Z,6.731355,2016-05-09T07:40:00.000Z,5.000967,2016-05-09T07:40:00.000Z,6.546487808
2016-05-09T07:45:00.000Z,3.444915056,2016-05-09T07:45:00.000Z,8.014668,2016-05-09T07:45:00.000Z,6.742763,2016-05-09T07:45:00.000Z,5.002645,2016-05-09T07:45:00.000Z,6.551259
2016-05-09T07:50:00.000Z,4.840826035,2016-05-09T07:50:00.000Z,8.000283241,2016-05-09T07:50:00.000Z,6.719258785,2016-05-09T07:50:00.000Z,4.977728844,2016-05-09T07:50:00.000Z,6.533132076
2016-05-09T07:55:00.000Z,5.615588,2016-05-09T07:55:00.000Z,8.012989044,2016-05-09T07:55:00.000Z,6.717619,2016-05-09T07:55:00.000Z,4.972884,2016-05-09T07:55:00.000Z,6.524587
2016-05-09T08:00:00.000Z,5.517373085,2016-05-09T08:00:00.000Z,8.025655,2016-05-09T08:00:00.000Z,6.703389168,2016-05-09T08:00:00.000Z,4.968381,2016-05-09T08:00:00.000Z,6.511345863
2016-05-09T08:05:00.000Z,6.242189884,2016-05-09T08:05:00.000Z,8.017071,2016-05-09T08:05:00.000Z,6.742917,2016-05-09T08:05:00.000Z,4.984749794,2016-05-09T08:05:00.000Z,6.505012035
2016-05-09T08:10:00.000Z,6.228109,2016-05-09T08:10:00.000Z,8.040498734,2016-05-09T08:10:00.000Z,6.710715,2016-05-09T08:10:00.000Z,4.990627,2016-05-09T08:10:00.000Z,6.506996155
2016-05-09T08:15:00.000Z,5.474526,2016-05-09T08:15:00.000Z,8.012377,2016-05-09T08:15:00.000Z,6.730020046,2016-05-09T08:15:00.000Z,5.001234,2016-05-09T08:15:00.000Z,6.477348
2016-05-09T08:20:00.000Z,4.507186,2016-05-09T08:20:00.000Z,8.014513,2016-05-09T08:20:00.000Z,6.733606815,2016-05-09T08:20:00.000Z,4.989557,2016-05-09T08:20:00.000Z,6.460177898
2016-05-09T08:25:00.000Z,4.408132,2016-05-09T08:25:00.000Z,8.024394989,2016-05-09T08:25:00.000Z,6.744442,2016-05-09T08:25:00.000Z,5.002798,2016-05-09T08:25:00.000Z,6.461742
2016-05-09T08:30:00.000Z,4.955025196,2016-05-09T08:30:00.000Z,8.003295,2016-05-09T08:30:00.000Z,6.746008,2016-05-09T08:30:00.000Z,5.008255005,2016-05-09T08:30:00.000Z,6.47467804
2016-05-09T08:40:00.000Z,3.115968943,2016-05-09T08:40:00.000Z,8.034659386,2016-05-09T08:40:00.000Z,6.734485,2016-05-09T08:40:00.000Z,5.007223,2016-05-09T08:40:00.000Z,6.466626
2016-05-09T08:50:00.000Z,6.660727,2016-05-09T08:50:00.000Z,8.027105,2016-05-09T08:50:00.000Z,6.712393,2016-05-09T08:50:00.000Z,5.017564774,2016-05-09T08:50:00.000Z,6.448502064
2016-05-09T09:05:00.000Z,6.38604,2016-05-09T09:05:00.000Z,8.02981472,2016-05-09T09:05:00.000Z,6.733721,2016-05-09T09:05:00.000Z,5.019014,2016-05-09T09:05:00.000Z,6.46441412
2016-05-09T09:10:00.000Z,4.931981087,2016-05-09T09:10:00.000Z,8.047444,2016-05-09T09:10:00.000Z,6.733529091,2016-05-09T09:10:00.000Z,5.022371769,2016-05-09T09:10:00.000Z,6.434956074
2016-05-09T09:15:00.000Z,7.759627819,2016-05-09T09:15:00.000Z,8.034622,2016-05-09T09:15:00.000Z,6.734788,2016-05-09T09:15:00.000Z,5.025043,2016-05-09T09:15:00.000Z,6.423014
2016-05-09T09:20:00.000Z,-4.285441,2016-05-09T09:20:00.000Z,8.051981926,2016-05-09T09:20:00.000Z,6.713765,2016-05-09T09:20:00.000Z,5.028172016,2016-05-09T09:20:00.000Z,6.4266
2016-05-09T09:35:00.000Z,5.121389,2016-05-09T09:35:00.000Z,8.07091,2016-05-09T09:35:00.000Z,6.724104881,2016-05-09T09:35:00.000Z,5.019127846,2016-05-09T09:35:00.000Z,6.428505898
2016-05-09T09:40:00.000Z,7.32792902,2016-05-09T09:40:00.000Z,8.072053,2016-05-09T09:40:00.000Z,6.723152161,2016-05-09T09:40:00.000Z,5.007682,2016-05-09T09:40:00.000Z,6.417747
2016-05-09T09:45:00.000Z,7.41695,2016-05-09T09:45:00.000Z,8.060796738,2016-05-09T09:45:00.000Z,6.698083,2016-05-09T09:45:00.000Z,5.04725,2016-05-09T09:45:00.000Z,6.421182156
2016-05-09T09:50:00.000Z,7.263330936,2016-05-09T09:50:00.000Z,8.065262794,2016-05-09T09:50:00.000Z,6.707964897,2016-05-09T09:50:00.000Z,5.013368,2016-05-09T09:50:00.000Z,6.410385
2016-05-09T09:55:00.000Z,7.099717,2016-05-09T09:55:00.000Z,8.044924736,2016-05-09T09:55:00.000Z,6.737576,2016-05-09T09:55:00.000Z,5.039122105,2016-05-09T09:55:00.000Z,6.412597179
2016-05-09T10:00:00.000Z,6.518939018,2016-05-09T10:00:00.000Z,8.045156,2016-05-09T10:00:00.000Z,6.723496,2016-05-09T10:00:00.000Z,5.023324966,2016-05-09T10:00:00.000Z,6.414315
