Date,Value
2016-05-09T20:50:00.000Z,9.591856003
2016-05-09T20:55:00.000Z,9.620477
2016-05-09T21:00:00.000Z,9.629289
2016-05-09T21:05:00.000Z,9.622381
2016-05-09T21:10:00.000Z,9.625207
2016-05-09T21:15:00.000Z,9.608380318
2016-05-09T21:20:00.000Z,9.600749969
2016-05-09T21:25:00.000Z,9.615859
2016-05-09T21:30:00.000Z,9.613798141
2016-05-09T21:35:00.000Z,9.637379
2016-05-09T21:40:00.000Z,9.608875275
2016-05-09T21:45:00.000Z,9.620245934
2016-05-09T21:50:00.000Z,9.620093
2016-05-09T21:55:00.000Z,9.628945
2016-05-09T22:00:00.000Z,9.617234
2016-05-09T22:05:00.000Z,9.622191
2016-05-09T22:10:00.000Z,9.616393
2016-05-09T22:15:00.000Z,9.623605728
2016-05-09T22:20:00.000Z,9.630396
2016-05-09T22:25:00.000Z,9.624635696
2016-05-09T22:30:00.000Z,9.635738
2016-05-09T22:35:00.000Z,9.627343
2016-05-09T22:40:00.000Z,9.63657856
2016-05-09T22:45:00.000Z,9.635774612
2016-05-09T22:50:00.000Z,9.644931793
2016-05-09T22:55:00.000Z,9.112654
2016-05-09T23:00:00.000Z,8.147678375
2016-05-09T23:05:00.000Z,8.163628578
2016-05-09T23:10:00.000Z,8.147678375
2016-05-09T23:15:00.000Z,8.158669
2016-05-09T23:20:00.000Z,8.13428688
2016-05-09T23:25:00.000Z,8.145085
2016-05-09T23:30:00.000Z,8.165158
2016-05-09T23:35:00.000Z,8.152411461
2016-05-09T23:40:00.000Z,8.145466
2016-05-09T23:45:00.000Z,8.191331
2016-05-09T23:50:00.000Z,8.169772148
2016-05-09T23:55:00.000Z,8.149396896
2016-05-10T00:00:00.000Z,8.164699
2016-05-10T00:05:00.000Z,8.150656
2016-05-10T00:10:00.000Z,8.144589
2016-05-10T00:15:00.000Z,8.16176033
2016-05-10T00:20:00.000Z,8.147908
2016-05-10T00:25:00.000Z,8.14000988
2016-05-10T00:30:00.000Z,8.152832031
2016-05-10T00:35:00.000Z,8.137719
2016-05-10T00:40:00.000Z,8.162409
2016-05-10T00:45:00.000Z,8.157256126
2016-05-10T00:50:00.000Z,8.146688461
2016-05-10T00:55:00.000Z,8.136232376
2016-05-10T01:00:00.000Z,8.175382614
2016-05-10T01:05:00.000Z,8.157640457
2016-05-10T01:10:00.000Z,8.169049263
2016-05-10T01:15:00.000Z,8.187286377
2016-05-10T01:20:00.000Z,8.190797
2016-05-10T01:25:00.000Z,8.178089
2016-05-10T01:30:00.000Z,8.174007
2016-05-10T01:35:00.000Z,8.1568
2016-05-10T01:40:00.000Z,8.15764
2016-05-10T01:45:00.000Z,8.168704033
2016-05-10T01:50:00.000Z,8.175953865
2016-05-10T01:55:00.000Z,8.199076
2016-05-10T02:00:00.000Z,8.177059174
2016-05-10T02:05:00.000Z,8.178511
2016-05-10T02:10:00.000Z,8.153897285
2016-05-10T02:15:00.000Z,8.199648857
2016-05-10T02:20:00.000Z,8.153211
2016-05-10T02:25:00.000Z,8.176067352
2016-05-10T02:30:00.000Z,8.182400703
2016-05-10T02:35:00.000Z,8.19182682
2016-05-10T02:40:00.000Z,8.187553406
2016-05-10T02:45:00.000Z,8.198085785
2016-05-10T02:50:00.000Z,8.180913925
2016-05-10T02:55:00.000Z,8.174999
2016-05-10T03:00:00.000Z,8.170152664
2016-05-10T03:05:00.000Z,8.163057327
2016-05-10T03:10:00.000Z,8.183697
2016-05-10T03:15:00.000Z,8.206746101
2016-05-10T03:20:00.000Z,8.195871353
2016-05-10T03:25:00.000Z,8.175305367
2016-05-10T03:30:00.000Z,8.184423
2016-05-10T03:35:00.000Z,8.185643
2016-05-10T03:40:00.000Z,8.175533295
2016-05-10T03:45:00.000Z,8.171069
2016-05-10T03:50:00.000Z,8.180416107
2016-05-10T03:55:00.000Z,8.175264
2016-05-10T04:00:00.000Z,8.180228
2016-05-10T04:05:00.000Z,8.185988426
2016-05-10T04:10:00.000Z,8.161988258
2016-05-10T04:15:00.000Z,8.180724
2016-05-10T04:20:00.000Z,8.170572281
2016-05-10T04:25:00.000Z,8.188622
2016-05-10T04:30:00.000Z,8.167366982
2016-05-10T04:35:00.000Z,8.170001
2016-05-10T04:40:00.000Z,8.178203
2016-05-10T04:45:00.000Z,8.171261787
2016-05-10T04:50:00.000Z,8.20625
2016-05-10T04:55:00.000Z,8.188277
2016-05-10T05:00:00.000Z,8.177668571
2016-05-10T05:05:00.000Z,8.18354702
2016-05-10T05:10:00.000Z,8.188810349
2016-05-10T05:15:00.000Z,8.175265
2016-05-10T05:20:00.000Z,8.192437172
2016-05-10T05:25:00.000Z,8.189347267
2016-05-10T05:30:00.000Z,8.202662468
2016-05-10T05:35:00.000Z,8.214417
2016-05-10T05:40:00.000Z,8.193237
2016-05-10T05:45:00.000Z,8.189765
2016-05-10T05:50:00.000Z,8.178356
2016-05-10T05:55:00.000Z,8.200561523
2016-05-10T06:00:00.000Z,8.182784
2016-05-10T06:05:00.000Z,8.181142
2016-05-10T06:10:00.000Z,8.175001144
2016-05-10T06:15:00.000Z,8.176718
2016-05-10T06:20:00.000Z,8.147983551
2016-05-10T06:25:00.000Z,8.170075
2016-05-10T06:30:00.000Z,8.167482
2016-05-10T06:35:00.000Z,8.160921
2016-05-10T06:40:00.000Z,8.158707
2016-05-10T06:45:00.000Z,8.14993
2016-05-10T06:50:00.000Z,8.135661
2016-05-10T06:55:00.000Z,8.106318474
2016-05-10T07:00:00.000Z,8.087508
2016-05-10T07:05:00.000Z,8.089529
2016-05-10T07:10:00.000Z,8.070642471
2016-05-10T07:15:00.000Z,8.086514473
2016-05-10T07:20:00.000Z,8.099145889
2016-05-10T07:25:00.000Z,8.098115
2016-05-10T07:30:00.000Z,8.14913
2016-05-10T07:35:00.000Z,8.144893646
2016-05-10T07:40:00.000Z,8.108762
2016-05-10T07:45:00.000Z,8.117498398
2016-05-10T07:50:00.000Z,8.129097
2016-05-10T07:55:00.000Z,8.105555534
2016-05-10T08:00:00.000Z,8.111432076
2016-05-10T08:05:00.000Z,8.085296
2016-05-10T08:10:00.000Z,8.087163
2016-05-10T08:15:00.000Z,8.09594059
2016-05-10T08:20:00.000Z,8.107004166
2016-05-10T08:25:00.000Z,8.08041
2016-05-10T08:30:00.000Z,8.095823288
2016-05-10T08:35:00.000Z,8.103760719
2016-05-10T08:40:00.000Z,8.093268394
2016-05-10T08:45:00.000Z,8.083767891
2016-05-10T08:50:00.000Z,8.083727837
2016-05-10T08:55:00.000Z,8.108799
2016-05-10T09:00:00.000Z,8.122726
2016-05-10T09:05:00.000Z,8.145008087
2016-05-10T09:10:00.000Z,8.11906147
2016-05-10T09:15:00.000Z,8.1518
2016-05-10T09:20:00.000Z,8.131083
2016-05-10T09:25:00.000Z,8.121353149
2016-05-10T09:30:00.000Z,8.131309
2016-05-10T09:35:00.000Z,8.136271477
2016-05-10T09:40:00.000Z,8.13047
2016-05-10T09:45:00.000Z,8.12452
2016-05-10T09:50:00.000Z,8.101053
2016-05-10T09:55:00.000Z,8.134591
2016-05-10T10:00:00.000Z,8.120358467
2016-05-10T10:05:00.000Z,8.119063377
2016-05-10T10:10:00.000Z,8.142259598
2016-05-10T10:15:00.000Z,8.089147568
2016-05-10T10:20:00.000Z,8.098116
2016-05-10T10:25:00.000Z,8.089566231
2016-05-10T10:30:00.000Z,8.097733
2016-05-10T10:35:00.000Z,8.120475
2016-05-10T10:40:00.000Z,8.096663475
2016-05-10T10:45:00.000Z,8.136043549
